breadcrumb_text_-1,breadcrumb_link_-1,breadcrumb_0_merged,page,clicks,impressions,ctr,position
Centrale pe lemne si peleti,https://www.romstal.ro/centrale-pe-lemne-si-peleti-c1461619.html,"Cazan (centrala) pe peleti, Alfa-Plam, Commo Compact, incalzire centralizata, otel, 37 kW : https://www.romstal.ro/cazan-centrala-pe-peleti-alfa-plam-commo-compact-incalzire-centralizata-otel-37-kw.html",https://www.romstal.ro/centrale-pe-lemne-si-peleti-c1461619.html,10404.0,115646.0,0.08996420109999999,8.722930322
Boilere electrice,https://www.romstal.ro/boilere-electrice-c1460159.html,"Boiler electric, Tesy, Anticalc, panou BiLight, 100 L, 2200W : https://www.romstal.ro/boiler-electric-tesy-anticalc-panou-bilight-100-l-2200w.html",https://www.romstal.ro/boilere-electrice-c1460159.html,7216.0,386482.0,0.018670985969999998,6.830465584
Tevi cupru pentru instalatii,https://www.romstal.ro/tevi-cupru-pentru-instalatii-c1459675.html,"TEAVA CUPRU IN COLAC PT INCALZIRE/SANITARE D.12x0,7mm : https://www.romstal.ro/teava-cupru-in-colac-pt-incalzire-sanitare-d-12x0-7mm.html",https://www.romstal.ro/tevi-cupru-pentru-instalatii-c1459675.html,5624.0,137842.0,0.04080033662,6.161757665
Calorifere otel verticale,https://www.romstal.ro/calorifere-otel-verticale-c1460113.html,CALORIFER OTEL VERTEO PLAN PROFIL 20  1600x300 733 W : https://www.romstal.ro/calorifer-otel-verteo-plan-profil-20-1600x300-733-w.html,https://www.romstal.ro/calorifere-otel-verticale-c1460113.html,4847.0,103579.0,0.046795199800000006,2.912076772
Vase wc suspendate,https://www.romstal.ro/vase-wc-suspendate-c1460757.html,"Vas WC suspendat, Ideal Standard, Tesi, 36.5x53.5 cm, alb : https://www.romstal.ro/vas-wc-suspendat-ideal-standard-tesi-36-5x53-5-cm-alb.html",https://www.romstal.ro/vase-wc-suspendate-c1460757.html,4236.0,116530.0,0.03635115421,4.40822964
Convectoare electrice,https://www.romstal.ro/convectoare-electrice-c1460132.html,"Convector electric, Delphi, Atlantic F119-25 : https://www.romstal.ro/convector-electric-delphi-atlantic-f119-25.html",https://www.romstal.ro/convectoare-electrice-c1460132.html,3244.0,162970.0,0.01990550408,7.144591029
Capace wc,https://www.romstal.ro/capace-wc-c1460758.html,"CAPAC PENTRU VAS WC HATRIA FUSION Q , INCHIDERE SOFT CLOSE , CULOARE ALB : https://www.romstal.ro/capac-pentru-vas-wc-hatria-fusion-q-inchidere-soft-close-culoare-alb.html",https://www.romstal.ro/capace-wc-c1460758.html,1910.0,138658.0,0.01377489939,7.272339137
"Tuburi  flexibile,  accesorii cosuri de fum",https://www.romstal.ro/tuburi-flexibile-accesorii-cosuri-de-fum-c1460106.html,"Tub flexibil din inox, MBM, dublu perete, neted la interior, diametru 250 : https://www.romstal.ro/tub-flexibil-din-inox-mbm-dublu-perete-neted-la-interior-diametru-250.html",https://www.romstal.ro/tuburi-flexibile-accesorii-cosuri-de-fum-c1460106.html,996.0,27247.0,0.036554483060000004,6.147539179
Centrale incalzire si apa calda cu boiler extern,https://www.romstal.ro/centrale-incalzire-si-apa-calda-cu-boiler-extern-c1461334.html,"Pachet centrala termica, condensare, Viessmann, Vitodens 200W, incalzire, boiler bivalent extern 300L, senzor boiler, Wi-Fi, 49 kW, kit evacuare inclus : https://www.romstal.ro/pachet-centrala-termica-condensare-viessmann-vitodens-200w-incalzire-boiler-bivalent-extern-300l-senzor-boiler-wi-fi-49-kw-kit-evacuare-inclus.html",https://www.romstal.ro/centrale-incalzire-si-apa-calda-cu-boiler-extern-c1461334.html,840.0,11631.0,0.07222078927,6.0535637520000005
Flotoare  wc si armaturi,https://www.romstal.ro/flotoare-wc-si-armaturi-c3763.html,"Mecanism (armatura), Geberit, dubla comanda (tip 212), pentru rezervor WC GEBERIT DELTA - UP100, SIGMA - UP300, UP320 : https://www.romstal.ro/mecanism-armatura-geberit-dubla-comanda-tip-212-pentru-rezervor-wc-geberit-delta-up100-sigma-up300-up320.html",https://www.romstal.ro/flotoare-wc-si-armaturi-c3763.html,755.0,49284.0,0.015319373430000003,6.875294212999999
Baterii cada,https://www.romstal.ro/baterii-cada-c1460778.html,"Baterie cada/dus, Ideal Standard, Idealstream, crom : https://www.romstal.ro/baterie-cada-dus-ideal-standard-idealstream-crom.html",https://www.romstal.ro/baterii-cada-c1460778.html,373.0,29687.0,0.012564422140000002,9.269916125
Pompe pentru ape uzate,https://www.romstal.ro/pompe-pentru-ape-uzate-c1461218.html,"POMPA SUBMERSIBILA APE UZATE, GRUNDFOS UNILIFT, KP350-A-1, INOX, CABLU 10m : https://www.romstal.ro/pompa-submersibila-ape-uzate-grundfos-unilift-kp350-a-1-inox-cablu-10m.html",https://www.romstal.ro/pompe-pentru-ape-uzate-c1461218.html,351.0,17835.0,0.0196804037,17.39360807
Centrale incalzire si apa calda instant,https://www.romstal.ro/centrale-incalzire-si-apa-calda-instant-c1460080.html,"Centrala termica, condensare, Viessmann, Vitodens 100-W, incalzire apa calda, kit evacuare inclus, 32kW : https://www.romstal.ro/centrala-termica-condensare-viessmann-vitodens-100-w-incalzire-apa-calda-kit-evacuare-inclus-32kw.html",https://www.romstal.ro/centrale-incalzire-si-apa-calda-instant-c1460080.html,210.0,6418.0,0.03272047367,7.8267373010000005
Cazi din acril,https://www.romstal.ro/cazi-din-acril-c1460790.html,"Cada baie din acril, patrata SX, KRONER, ARIA, alba, 170X75X58 cm : https://www.romstal.ro/cada-baie-din-acril-patrata-sx-kroner-aria-alba-170x75x58-cm.html",https://www.romstal.ro/cazi-din-acril-c1460790.html,146.0,4665.0,0.03129689175,7.576205787999999
"Placi electronice, automatizari",https://www.romstal.ro/placi-electronice-automatizari-c3544.html,"Placa electronica (R10030505 - BERETTA), Riello, GRUPPO GIORDANO, CPBTR04, pentru RESIDENCE 24 KIS DGT 3S : https://www.romstal.ro/placa-electronica-r10030505-beretta-riello-gruppo-giordano-cpbtr04-pentru-residence-24-kis-dgt-3s.html",https://www.romstal.ro/placi-electronice-automatizari-c3544.html,117.0,5285.0,0.022138126769999995,5.443519395
