breadcrumb_text_-1,breadcrumb_link_-1,breadcrumb_0_merged,page,clicks,impressions,ctr,position
Pompe de caldura,https://www.romstal.ro/pompe-de-caldura-c1460591.html,"Pompe de caldura : https://www.romstal.ro/pompe-de-caldura-c1461999.html', 'Pompa de caldura sol-apa split, Stiebel Eltron, WPF 10, incalzire, 10 kW, 400V : https://www.romstal.ro/pompa-de-caldura-sol-apa-split-stiebel-eltron-wpf-10-incalzire-10-kw-400v.html', 'Sisteme termodinamice : https://www.romstal.ro/sisteme-termodinamice-c1460605.html', 'Pompa de caldura sol-apa split, Stiebel Eltron, WPF 10, incalzire, 10 kW, 400V : https://www.romstal.ro/pompa-de-caldura-sol-apa-split-stiebel-eltron-wpf-10-incalzire-10-kw-400v.html', 'Accesorii pompe de caldura : https://www.romstal.ro/accesorii-pompe-de-caldura-c1460609.html', 'Pompe de caldura : https://www.romstal.ro/pompe-de-caldura-c1461999.html', 'Sisteme piscine : https://www.romstal.ro/sisteme-piscine-c1460607.html', 'Pompa de caldura sol-apa split, Stiebel Eltron, WPF 10, incalzire, 10 kW, 400V : https://www.romstal.ro/pompa-de-caldura-sol-apa-split-stiebel-eltron-wpf-10-incalzire-10-kw-400v.html",https://www.romstal.ro/pompe-de-caldura-c1460591.html,79550,834841,0.09528760566,4.023812918
Panouri solare,https://www.romstal.ro/panouri-solare-c1460580.html,"Panouri solare cu tuburi : https://www.romstal.ro/panouri-solare-cu-tuburi-c1461352.html', 'Panouri solare plane : https://www.romstal.ro/panouri-solare-plane-1.html', 'Accesorii panouri solare : https://www.romstal.ro/accesorii-panouri-solare-c1460586.html', 'Panouri solare cu rezervor presurizat : https://www.romstal.ro/panouri-solare-cu-rezervor-presurizat-c1460583.html",https://www.romstal.ro/panouri-solare-c1460580.html,38857,969330,0.04008645147,7.196781282
Centrale termice pe gaz,https://www.romstal.ro/centrale-termice-pe-gaz-c1460079.html,"Centrale incalzire si apa calda cu boiler incorporat : https://www.romstal.ro/centrale-incalzire-si-apa-calda-cu-boiler-incorporat-c1461333.html', 'Centrale incalzire si apa calda cu boiler extern : https://www.romstal.ro/centrale-incalzire-si-apa-calda-cu-boiler-extern-c1461334.html', 'Accesorii evacuare centrale : https://www.romstal.ro/accesorii-evacuare-centrale-c1461335.html', 'Centrale incalzire si apa calda instant : https://www.romstal.ro/centrale-incalzire-si-apa-calda-instant-c1460080.html",https://www.romstal.ro/centrale-termice-pe-gaz-c1460079.html,37554,870321,0.04314959653,6.242505926
Centrale si sobe pe lemne si peleti,https://www.romstal.ro/centrale-si-sobe-pe-lemne-si-peleti-c1460087.html,"Centrale pe lemne si peleti : https://www.romstal.ro/centrale-pe-lemne-si-peleti-c1461619.html', 'Sobe seminee, thermoseminee : https://www.romstal.ro/sobe-seminee-thermoseminee-c1460093.html', 'Sobe de gatit : https://www.romstal.ro/sobe-de-gatit-c1461620.html', 'Accesorii centrale combustibil solid : https://www.romstal.ro/accesorii-centrale-combustibil-solid-c1460095.html', 'Sobe seminee, thermoseminee : https://www.romstal.ro/sobe-seminee-thermoseminee-c1460093.html', 'Centrale pe lemne si peleti : https://www.romstal.ro/centrale-pe-lemne-si-peleti-c1461619.html",https://www.romstal.ro/centrale-si-sobe-pe-lemne-si-peleti-c1460087.html,24074,684446,0.03517297201,7.642832305
Centrale electrice,https://www.romstal.ro/centrale-electrice-c1460085.html,"Centrale electrice trifazate : https://www.romstal.ro/centrale-electrice-trifazate-c1461609.html', 'Centrale electrice monofazate : https://www.romstal.ro/centrale-electrice-monofazate-c1461608.html",https://www.romstal.ro/centrale-electrice-c1460085.html,23831,296256,0.08044056492,5.357825664
Aer conditionat,https://www.romstal.ro/aer-conditionat-c1460192.html,"Aer conditionat rezidential : https://www.romstal.ro/aer-conditionat-rezidential-c1461622.html', 'Aer conditionat multisplit : https://www.romstal.ro/aer-conditionat-multisplit-c1461624.html', 'Aer conditionat fara unitate externa : https://www.romstal.ro/aer-conditionat-fara-unitate-externa-c1461351.html', 'Accesorii aer conditionat : https://www.romstal.ro/accesorii-aer-conditionat-c1460204.html', 'Aer conditionat comercial : https://www.romstal.ro/aer-conditionat-comercial-c1460193.html', 'Aer conditionat multisplit : https://www.romstal.ro/aer-conditionat-multisplit-c1461624.html",https://www.romstal.ro/aer-conditionat-c1460192.html,20923,717187,0.02917370226,6.346662725
Turbine eoliene,https://www.romstal.ro/turbine-eoliene-c1460636.html,Turbine eoliene cu ax orizontal : https://www.romstal.ro/turbine-eoliene-cu-ax-orizontal-c1460639.html,https://www.romstal.ro/turbine-eoliene-c1460636.html,19085,228209,0.08362947999,4.99561367
Mobiliere de baie,https://www.romstal.ro/mobiliere-de-baie-c1460844.html,"Seturi mobilier baie : https://www.romstal.ro/seturi-mobilier-baie-c1460845.html', 'Dulapuri de baie : https://www.romstal.ro/dulapuri-de-baie-c1461009.html', 'Blaturi pentru mobilier de baie : https://www.romstal.ro/blaturi-pentru-mobilier-de-baie-c1461716.html', 'Mobilier baza lavoar : https://www.romstal.ro/mobilier-baza-lavoar-c1460860.html', 'Oglinzi pentru mobilier baie : https://www.romstal.ro/oglinzi-pentru-mobilier-baie-c1461032.html', 'Lavoare pentru mobilier baie : https://www.romstal.ro/lavoare-pentru-mobilier-baie-c1460920.html', 'Accesorii mobiliere de baie : https://www.romstal.ro/accesorii-mobiliere-de-baie-c1461072.html",https://www.romstal.ro/mobiliere-de-baie-c1460844.html,15774,606903,0.02599097385,8.882987891
Termostate cronotermostate,https://www.romstal.ro/termostate-cronotermostate-c1460138.html,Termostate si cronotermostate : https://www.romstal.ro/termostate-si-cronotermostate-c1460139.html,https://www.romstal.ro/termostate-cronotermostate-c1460138.html,14071,512617,0.02744934327,5.541380797
Cabine de dus simple,https://www.romstal.ro/cabine-de-dus-simple-c1460803.html,"Cabine de dus semirotunde : https://www.romstal.ro/cabine-de-dus-semirotunde-c1460804.html', 'Cabine de dus patrate : https://www.romstal.ro/cabine-de-dus-patrate-c1460805.html', 'Cabine de dus pentagonale : https://www.romstal.ro/cabine-de-dus-pentagonale-c1460806.html', 'Cabine de dus asimetrice : https://www.romstal.ro/cabine-de-dus-asimetrice-c1460807.html",https://www.romstal.ro/cabine-de-dus-simple-c1460803.html,13970,531438,0.02628716802,6.185415796
