джЏ «б»Ўжб…,гнЏ«ѕ «бг»«—«…,«бЁ—ё,«бд нћ…
«бѕж—н «бг’—н,17:00,«бг’—н - «бгё«жбжд «бЏ—»,2 - 2
я√” я«—«»«ж,21:45,»б«я»н№—д  —жЁ—“ - дж ндће«г Ёж—” ,1 - 4
я√” я«—«»«ж,21:45, ‘«—б жд - »—«н жд,0 - 0
я√” я«—«»«ж,22:00,г«д‘” — нжд«н ѕ - »н—дбн,2 - 0
я√” ќ«ѕг «бЌ—гнд «б‘—нЁнд,14:30,√»е« - «б Џ«жд,4 - 3
я√” ќ«ѕг «бЌ—гнд «б‘—нЁнд,17:00,«беб«б - «б√ Ё№№№№№«ё,4 - 0
я√” ќ«ѕг «бЌ—гнд «б‘—нЁнд,20:00,«бд’— - «бЏѕ«б…,2 - 0
«бѕж—н «б жд”н,15:00,«бгбЏ» «б жд”н - «б —ћм «б—н«÷н,2 - 1
«бѕж—н «б жд”н,15:00,«бдћг «б”«Ќбм - «б’Ё«ё”№№№№н,1 - 0
«бѕж—н «б жд”н,15:00,«б«Ё—нён «б жд”н - ”бнг«д «б—н«÷н,1 - 0
