джЏ «б»Ўжб…,гнЏ«ѕ «бг»«—«…,«бЁ—ё,«бд нћ…
«бѕж—н «бг’—н,14:45,√”ж«д - «б√ебн,0 - 3
«бѕж—н «бг’—н,17:00,«б≈”г«Џнбн - џ“б «бгЌб…,1 - 1
«бѕж—н «бг’—н,19:00,Ќ—” «бЌѕжѕ - Ё«—яж,0 - 0
»Ўжб… √Ё—нён« бб‘»«»,16:00,ћ«г»н« - ‘»«» -  жд” - «б‘»«»,1 - 0
»Ўжб… √Ё—нён« бб‘»«»,19:00,»днд - ‘»«» - “«г»н« - ‘»«»,1 - 1
ѕж—н √»Ў«б √ж—ж»«,22:00,¬. Ё—«дяЁж—  - д«»жбн,0 - 2
ѕж—н √»Ў«б √ж—ж»«,22:00,бнЁ—»жб - —н«б гѕ—нѕ,2 - 5
«б»Ўжб… «бЏ—»н… бб√дѕн… ббя—… «бЎ«∆—…,15:00,«бжя—… - ќн»б «бнгдн,3 - 0
«б»Ўжб… «бЏ—»н… бб√дѕн… ббя—… «бЎ«∆—…,15:00,«бд’— «б»Ќ—ндн - «б”жнЌбн,3 - 1
«б»Ўжб… «бЏ—»н… бб√дѕн… ббя—… «бЎ«∆—…,17:00,«бгнд«Ѕ «бнгдн - я«ўг… «б—н«÷н,0 - 3
«б»Ўжб… «бЏ—»н… бб√дѕн… ббя—… «бЎ«∆—…,17:00,«б’ѕ«ё… «бЁб”Ўндн - «б√ебн «бёЎ—н,0 - 3
«б»Ўжб… «бЏ—»н… бб√дѕн… ббя—… «бЎ«∆—…,20:00,«б√ебн - »дн н«”,3 - 0
«б»Ўжб… «бЏ—»н… бб√дѕн… ббя—… «бЎ«∆—…,20:00,«б”н» «бЏг«дн - г’«Ён «б‘г«б,3 - 2
ѕж—н дћжг ёЎ—,15:45,д«ѕн ёЎ— - «б”нбн…,1 - 1
ѕж—н дћжг ёЎ—,15:45,«бг—ќн… «б—н«÷н - «бЏ—»н,0 - 2
ѕж—н дћжг ёЎ—,17:55,«г ’б«б - «бжя—…,0 - 0
«бѕж—н «бгџ—»н,17:00,«бгџ—» «бЁ«”н - √жбг»ня ¬”Ён,1 - 1
«бѕж—н «бгџ—»н,19:15,« Ќ«ѕ Ўдћ… - «бгџ—» «б Ўж«дн,2 - 0
«бѕж—н «бгџ—»н,19:15,«бѕЁ«Џ «бћѕнѕн - «бжѕ«ѕ «б»н÷«жн,0 - 1
«бѕж—н «бгџ—»н,21:30,гжбжѕн… жћѕ… - ‘»«» «бгЌгѕн…,1 - 1
